domainId,categoryId,categoryTitle,breadcrumb,mediaGroup,name,subName,pen,sel,reach,benchmarkPen
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Pinegar Honda,,6.1,1.51,19556,4.039735099337748
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Inno Racks,,4.6,1.51,14710,3.0463576158940393
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Revive Collision,,6.2,1.5,19933,4.133333333333334
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Nissan,,57,1.49,182991,38.25503355704698
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Glass America,,2.1,1.49,6834,1.4093959731543624
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Rechtien,,1.6,1.49,5166,1.0738255033557047
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,GW Auto detail,,0.8,1.49,2666,0.5369127516778524
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Land Rover,,53.7,1.48,172332,36.28378378378379
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Toyota,,55.5,1.47,178107,37.755102040816325
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Motor bikes,iXS,9,1.47,28773,6.122448979591836
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Take 5,,2.9,1.47,9370,1.9727891156462585
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Kunes Auto Group,,1.2,1.47,3815,0.8163265306122449
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Volvo Cars,,19.6,1.46,62869,13.424657534246577
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Tesla Motors,,42.9,1.45,137751,29.586206896551722
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Alfa Romeo,,34,1.45,108926,23.448275862068968
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Mini (marque),,24,1.45,77145,16.551724137931036
brands-relationship,brands-relationship-automotive,Automotive,Brands relationship > Automotive,Automotive & mobility,Jaguar Land Rover,,6.8,1.45,21828,4.689655172413793
