Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Small business-to-business enterprise employees (10-200 employees);21832;604848;0.06805486284289276;0.07754461538461538;25
Transportation and Moving;1931;40000;0.006019326683291771;0.005128205128205128;68
1. FSV Mainz 05;843;18102;0.0026278054862842893;0.002320769230769231;0
10K run;43843;1259870;0.13666770573566084;0.16152179487179488;24
20th Century Fox;997;31242;0.00310785536159601;0.0040053846153846155;0
24 Hours of Le Mans;12943;229005;0.040346009975062345;0.029359615384615383;87
3D modeling;11588;312152;0.03612219451371571;0.04001948717948718;27
3M;8663;146221;0.02700436408977556;0.01874628205128205;90
50 Cent;2637;79329;0.008220074812967581;0.010170384615384616;12
5G;32011;723514;0.09978491271820449;0.09275820512820512;67
5K run;31605;869719;0.09851932668329177;0.1115024358974359;29
7-Eleven;2275;70222;0.007091645885286783;0.009002820512820513;10
9GAG;2552;73108;0.007955112219451372;0.009372820512820512;17
A Bathing Ape (apparel);6248;181066;0.019476309226932668;0.023213589743589745;16
A. Lange & Söhne;9919;240584;0.030919576059850375;0.030844102564102565;44
A.C. Milan;16938;383437;0.052799251870324186;0.04915858974358974;61
A.I. Artificial Intelligence;21341;470788;0.06652431421446384;0.0603574358974359;67
A.S. Roma;8439;200435;0.026306109725685787;0.02569679487179487;48
AAA;34005;553391;0.1060006234413965;0.0709475641025641;96
ABC Fine Wine & liquors;2275;40496;0.007091645885286783;0.005191794871794872;84
ACME Smoked Fish;1043;19359;0.0032512468827930172;0.002481923076923077;80
AEG;23761;539678;0.07406795511221945;0.06918948717948718;63
AG1;843;18102;0.0026278054862842893;0.002320769230769231;0
AMA Supercross Championship;9129;185551;0.0284569825436409;0.023788589743589744;74
AS Monaco FC;4010;89430;0.0125;0.011465384615384615;57
ASAP Rocky;3142;97159;0.00979426433915212;0.01245628205128205;10
ASICS;14747;378888;0.045969451371571074;0.04857538461538462;36
ASOS.com;21662;783663;0.06752493765586035;0.10046961538461538;3
AT&T;5690;120956;0.017736907730673317;0.015507179487179487;66
ATP World Tour;4735;122551;0.01475997506234414;0.015711666666666665;31
AVARA;9642;207972;0.030056109725685787;0.026663076923076925;65
AXA;24979;516880;0.0778647132169576;0.06626666666666667;77
Aamir Khan;925;29438;0.002883416458852868;0.0037741025641025642;0
Abercrombie & Fitch;3227;88561;0.010059226932668329;0.011353974358974358;22
Absolut Vodka;4501;102929;0.014030548628428927;0.01319602564102564;52
Abu Dhabi Grand Prix;5197;97664;0.0162001246882793;0.01252102564102564;80
Abuelita;3368;67644;0.010498753117206983;0.008672307692307693;73
Academy Awards (movies & television);7033;211574;0.021923316708229425;0.027124871794871795;12
Accenture;2085;43744;0.006499376558603491;0.005608205128205129;66
Accounting (business & finance);67233;1412728;0.2095791770573566;0.18111897435897437;85
Acer Inc.;8596;178821;0.026795511221945137;0.022925769230769232;70
Acne Studios;16587;542109;0.05170511221945137;0.06950115384615385;7
Acqua di Parma (fashion brand);1812;45624;0.005648379052369077;0.005849230769230769;35
Actimel;3405;75956;0.010614089775561096;0.009737948717948718;56
Acting;68219;1967735;0.21265274314214463;0.25227371794871795;29
Action figure (toy);21780;625128;0.0678927680798005;0.08014461538461538;20
Action games;57568;1362586;0.17945137157107233;0.17469051282051282;68
Action movies;86414;2228477;0.26937032418952617;0.28570217948717946;60
Action role-playing game (video game);12286;336526;0.03829800498753117;0.043144358974358976;25
Action-adventure game;23913;617296;0.07454177057356609;0.07914051282051282;38
Activia;1454;46222;0.004532418952618454;0.005925897435897436;8
Activism;36568;883456;0.11399002493765586;0.11326358974358974;56
Acura (vehicles);29830;530468;0.09298628428927681;0.06800871794871795;91
AdWords;12390;262752;0.03862219451371571;0.033686153846153845;69
Adele;10389;205469;0.032384663341645886;0.026342179487179488;77
Adidas;79072;2015361;0.24648379052369077;0.2583796153846154;60
Adobe;15539;389288;0.048438279301745636;0.04990871794871795;41
Adobe After Effects;2888;73468;0.009002493765586034;0.009418974358974359;33
